epoch,accuracy,loss,val_accuracy,val_loss
0,0.4680320918560028,1.1913057565689087,0.5734870433807373,1.0995945930480957
1,0.6548574566841125,0.8544023633003235,0.5821325778961182,1.0601016283035278
2,0.7246056199073792,0.7075517177581787,0.5763688683509827,1.1207424402236938
3,0.7816219329833984,0.562245786190033,0.5648415088653564,1.2049710750579834
4,0.8250761032104492,0.47497472167015076,0.5677233338356018,1.2741106748580933
5,0.8582895398139954,0.380630224943161,0.5821325778961182,1.3774069547653198
6,0.8920564651489258,0.30810895562171936,0.5734870433807373,1.4700767993927002
7,0.9108774065971375,0.2542788088321686,0.579250693321228,1.4841123819351196
8,0.9169664978981018,0.2306305319070816,0.5936599373817444,1.5238111019134521
9,0.9357874393463135,0.18342041969299316,0.5878962278366089,1.7631266117095947
10,0.9346803426742554,0.19176335632801056,0.5850144028663635,2.0187103748321533
11,0.950179934501648,0.14946740865707397,0.5677233338356018,2.0974605083465576
12,0.9554386734962463,0.14003053307533264,0.5533141493797302,2.0390682220458984
13,0.945751428604126,0.1535111367702484,0.5706051588058472,2.0203592777252197
14,0.952117383480072,0.1319454163312912,0.5677233338356018,2.103300094604492
15,0.9615278244018555,0.10726854205131531,0.5821325778961182,2.0297622680664062
16,0.9667866230010986,0.10329487919807434,0.5878962278366089,1.9716647863388062
17,0.9709382653236389,0.09300412237644196,0.5763688683509827,2.197598934173584
18,0.9676169157028198,0.0910959541797638,0.5706051588058472,2.1802120208740234
19,0.9712150692939758,0.087458536028862,0.5561959743499756,2.2982850074768066
20,0.977027416229248,0.06927783042192459,0.5677233338356018,2.3559837341308594
21,0.9745364189147949,0.07178864628076553,0.559077799320221,2.3860268592834473
22,0.9739828109741211,0.080161452293396,0.579250693321228,2.731433868408203
23,0.9681705236434937,0.08773192763328552,0.5677233338356018,2.4506545066833496
24,0.9706615209579468,0.08181040734052658,0.5561959743499756,2.3506433963775635
