epoch,accuracy,loss,val_accuracy,val_loss
0,0.3570440113544464,1.33123779296875,0.4438040256500244,1.2765378952026367
1,0.6282867193222046,1.0029842853546143,0.639769434928894,0.9382330179214478
2,0.792969822883606,0.5946183204650879,0.6743515729904175,0.7808747291564941
3,0.8402988910675049,0.42592933773994446,0.6858789920806885,0.7954189777374268
4,0.8746194243431091,0.3404037356376648,0.7002881765365601,0.8190259337425232
5,0.898699164390564,0.27720579504966736,0.6858789920806885,0.8410590887069702
6,0.9205646514892578,0.23588937520980835,0.680115282535553,0.9234721064567566
7,0.9341267347335815,0.1958291381597519,0.7002881765365601,0.9832924604415894
8,0.9438139796257019,0.16749736666679382,0.6916426420211792,1.0315111875534058
9,0.9554386734962463,0.14511294662952423,0.6974063515663147,1.0742007493972778
10,0.9626349210739136,0.12625771760940552,0.680115282535553,1.1477322578430176
11,0.9623581767082214,0.11578415334224701,0.6945244669914246,1.1862502098083496
12,0.9659562706947327,0.10746895521879196,0.6916426420211792,1.2765578031539917
13,0.9687240719795227,0.099119171500206,0.6974063515663147,1.2500642538070679
14,0.9692776203155518,0.09432719647884369,0.680115282535553,1.3195713758468628
15,0.972875714302063,0.0823945626616478,0.6887608170509338,1.3211272954940796
16,0.9717686176300049,0.08692271262407303,0.6743515729904175,1.330320119857788
17,0.9748131632804871,0.07957519590854645,0.680115282535553,1.381496548652649
18,0.9753667116165161,0.0756930261850357,0.6887608170509338,1.4204660654067993
19,0.9745364189147949,0.07496727257966995,0.6887608170509338,1.440624713897705
20,0.9761970639228821,0.0696985200047493,0.6714697480201721,1.5105605125427246
21,0.976473867893219,0.06775577366352081,0.6772334575653076,1.4854354858398438
22,0.9778577089309692,0.06408704072237015,0.6829971075057983,1.4987863302230835
23,0.977027416229248,0.0641561821103096,0.6714697480201721,1.5584516525268555
24,0.9789648652076721,0.06214407831430435,0.6829971075057983,1.5179909467697144
